flow_id,3-tuple,down_min_len,up_slice_max,down_slice_max,top_10_bytes_ratio,down_pkt_standard_deviation,min_interval,down_slice_std,sport,dport,up_slice_std,up_slice_mean,down_bytes,bytes_ratio,flow_byte/s_raito,down_slice_mean,up_interval_std,up_bytes,sum_bytes,top_10_byte/s,min_len,pkt_ratio,flow_pkt/s_raito,down_byte/s,pkt_standard_deviation,flow_byte/s,down_max_interval,up_max_interval,up_pkt_standard_deviation,down_pkt/s,up_byte/s,up_pkt/s,top_10_time_min_interval,flow_pkt/s,down_interval_std,top_10_pkt_std,up_pkt_mean,up_max_len,max_len,up_slice_min,up_pkt_nums,tag,real_tag
172.16.113.105_197.182.91.233_2679_25_6_898690850.449252,197.182.91.233_25_6,73,1,1,0.795,19.639,0.0002239942550659,0.0,2679,25,0.0,1.0,766,1.521,1.521,1.0,0.0004191076499209,1165,1931,183400.0,60,0.875,0.875,95750.0,153.561,241375.0,0.002212,0.001947,217.774,1000.0,145625.0,875.0,0.0002330541610717,1875.0,0.0005316814261274,19.442479265772665,166.42857142857142,699,699,1,7,6,6
172.16.113.105_197.218.177.69_2680_25_6_898690853.488095,197.218.177.69_25_6,73,1,1,0.789,20.564,0.0002199411392211,0.0,2680,25,0.0,1.0,767,1.516,1.516,1.0,0.0004280235260927,1163,1930,152666.667,60,0.875,0.875,85222.222,153.647,214444.444,0.002221,0.001973,217.877,888.889,129222.222,777.778,0.0002269744873046,1666.667,0.0005346671082708,20.249444436823445,166.14285714285714,699,699,1,7,6,6
172.16.114.168_196.227.33.189_2683_25_6_898690865.355595,196.227.33.189_25_6,73,2,1,0.791,19.141,0.0002360343933105,0.0,2683,25,0.3499271061118826,1.1428571428571428,761,3.34,3.34,1.0,0.0061126531732404,2542,3303,2688.427,60,1.0,1.0,2108.033,316.208,9149.584,0.023338,0.0188,418.125,22.161,7041.551,22.161,0.0002360343933105,44.321,0.0083784123529195,19.11648503255764,317.75,1078,1078,1,8,6,6
172.16.112.194_195.73.151.50_3202_25_6_898690958.375661,195.73.151.50_25_6,73,1,1,0.791,19.78,0.0002100467681884,0.0,3202,25,0.0,1.0,768,1.716,1.716,1.0,0.0015512305867708,1318,2086,14587.302,60,0.875,0.875,11294.118,191.481,30676.471,0.006109,0.006081,271.254,117.647,19382.353,102.941,0.0002100467681884,220.588,0.001684405211541,19.694923203709124,188.28571428571428,852,852,1,7,6,6
172.16.112.194_194.7.248.153_3205_25_6_898690959.468701,194.7.248.153_25_6,73,1,1,0.794,19.326,0.0002189874649047,0.0,3205,25,0.0,1.0,764,1.723,1.723,1.0,0.0005126727351179,1316,2080,182600.0,60,0.875,0.875,84888.889,191.55,231111.111,0.002532,0.00222,271.357,888.889,146222.222,777.778,0.0002310276031494,1666.667,0.0006458479353187,19.26161986957484,188.0,852,852,1,7,6,6
172.16.112.194_197.218.177.69_3207_25_6_898690960.497953,197.218.177.69_25_6,73,1,1,0.788,20.414,0.0002179145812988,0.0,3207,25,0.0,1.0,768,1.714,1.714,1.0,0.0005165815252428,1316,2084,183400.0,60,0.875,0.875,85333.333,191.551,231555.556,0.0025,0.002198,271.357,888.889,146222.222,777.778,0.0002299547195434,1666.667,0.000639170556268,20.22399564873371,188.0,852,852,1,7,6,6
172.16.112.194_135.8.60.182_3208_25_6_898690961.526486,135.8.60.182_25_6,73,1,1,0.794,19.28,0.0002269744873046,0.0,3208,25,0.0,1.0,765,1.722,1.722,1.0,0.0005155104266646,1317,2082,152500.0,60,0.875,0.875,85000.0,191.516,231333.333,0.002596,0.002221,271.305,888.889,146333.333,777.778,0.0002369880676269,1666.667,0.0006689338324694,19.236683705878203,188.1428571428572,852,852,1,7,6,6
172.16.114.169_135.13.216.191_3209_25_6_898691031.633279,135.13.216.191_25_6,73,2,1,0.788,19.147,0.0002460479736328,0.0,3209,25,0.3499271061118826,1.1428571428571428,759,2.69,2.69,1.0,0.003717106006186,2042,2801,20477.273,60,1.0,1.0,12650.0,254.887,46683.333,0.014542,0.011662,341.626,133.333,34033.333,133.333,0.0002549886703491,266.667,0.0050955999128878,19.20130203918474,255.25,1078,1078,1,8,6,6
172.16.114.50_197.182.91.233_1091_25_6_898691034.348021,197.182.91.233_25_6,73,3,1,0.787,19.486,0.0002310276031494,0.0,1091,25,0.6998542122237652,1.2857142857142858,762,5.293,5.293,1.0,0.247612458695255,4033,4795,113250.0,60,1.125,1.125,939.581,432.358,5912.454,0.755243,0.755811,542.371,9.864,4972.873,11.097,0.0002310276031494,20.962,0.27795873848394,19.57140771636011,448.1111111111111,1514,1514,1,9,6,6
192.168.1.5_27.43.199.64_55938_40025_17_1690695270.245382,27.43.199.64_40025_17,106,2,2,0.981,17.991,0.0,0.2420614591379635,55938,40025,0.3812200410828153,1.8235294117647056,3862,1.037,1.037,1.9375,1.1860828613737078,4006,7868,10803.419,106,1.0,1.0,133.444,21.329,271.863,2.708213,2.62653,23.988,1.071,138.42,1.071,0.0002369880676269,2.142,1.2275838756893285,20.819221887476967,129.2258064516129,154,154,1,31,7,7
192.168.1.5_27.45.64.145_64925_37407_17_1690695021.67353,27.45.64.145_37407_17,106,4,4,1.056,17.96,0.0,0.7637626158259734,64925,37407,0.9897433186107868,2.142857142857143,1878,1.026,1.026,2.5,0.8230990691534369,1926,3804,3138.756,106,1.0,1.0,245.844,21.226,497.971,2.579633,2.4482,23.947,1.964,252.127,1.964,0.0,3.927,0.9065186317911788,21.09407499749633,128.4,154,154,1,15,7,7
192.168.1.5_27.45.64.145_64365_53731_17_1690695035.667434,27.45.64.145_53731_17,106,4,3,1.056,17.989,0.0,0.2672612419124244,64365,53731,0.4987228587060335,1.9642857142857144,6980,1.021,1.021,2.0,1.1614290606383522,7126,14106,4402.685,106,0.982,0.982,113.553,21.322,229.482,3.076042,2.619548,23.996,0.911,115.928,0.895,0.0,1.806,1.2929884071217326,21.09407499749633,129.56363636363636,154,154,1,55,7,7
192.168.1.5_27.152.51.164_57631_36218_17_1690697911.32257,27.152.51.164_36218_17,106,3,3,0.981,17.937,9.5367431640625e-07,0.3919183588453084,57631,36218,0.455083060238432,1.8461538461538465,6024,1.02,1.02,1.92,1.2219271567826202,6144,12168,11490.909,106,1.0,1.0,126.624,21.176,255.77,2.747059,2.64879,23.917,1.009,129.146,1.009,9.5367431640625e-07,2.018,1.2491776606208873,20.819221887476967,128.0,154,154,1,48,7,7
192.168.1.5_36.57.165.90_54997_25454_17_1690696802.55415,36.57.165.90_25454_17,106,2,2,0.981,17.986,0.0,0.2664693550105965,54997,25454,0.2641509433962263,1.9245283018867925,12472,1.059,1.059,1.9230769230769231,1.2616298775751895,13212,25684,12153.846,106,1.02,1.02,104.761,21.37,215.738,2.690547,2.640708,23.995,0.84,110.977,0.857,9.5367431640625e-07,1.697,1.2928788952071435,20.819221887476967,129.52941176470588,154,154,1,102,7,7
